Landshlutar,Póstnúmer,Age,Gender,Other Category,Flettingar,% Δ,Fjöldi eigna,% Δ,Avg. Time on Page,% Δ
Mosfellsbær,270 Mosfellsbær,25-34,male,Arts & Entertainment/TV & Video/Online Video,1074,1.1058823529411765,11,1.2,23.22895277207392,-0.04687767054796334
Reykjavík,109 Reykjavík (Breiðholt),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,1069,1.3755555555555556,7,2.5,13.475206611570249,-0.32270833587860864
Reykjavík,107 Reykjavík (Vesturbær),25-34,female,Arts & Entertainment/TV & Video/Online Video,1047,1.8221024258760108,13,2.25,14.286573146292586,0.18731816283615327
Hafnafjörður,220 Hafnarfjörður,25-34,male,News/Sports News,1037,5.1,8,3,17.810325476992144,0.32811222486174685
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),25-34,female,[Life Events] Moving/Recently Moved,1029,1.7513368983957218,10,0.6666666666666666,28.43756558237146,1.8926463557999622
Vesturland,300 Akranes,25-34,male,News/Sports News,1027,0.44851904090267986,10,0.25,16.774509803921568,-0.4190856573501261
Reykjavík,107 Reykjavík (Vesturbær),25-34,female,[Life Events] Moving/Recently Moved,998,0.24283935242839352,11,0.2222222222222222,17.016597510373444,0.8401556784126093
Vesturland,300 Akranes,25-34,male,Arts & Entertainment/TV & Video/Online Video,980,0.762589928057554,7,0,9.432432432432432,-0.5616882347520439
Hafnafjörður,220 Hafnarfjörður,25-34,female,Arts & Entertainment/TV & Video/Online Video,966,2.6452830188679246,10,1.5,18.71954022988506,0.2929724042278445
Hafnafjörður,221 Hafnarfjörður,25-34,male,Sports/Team Sports/Soccer,944,1.1071428571428572,8,0.3333333333333333,20.021077283372364,-0.498462862781483
Suðurland,810 Hveragerði,25-34,male,Sports/Team Sports/Soccer,925,0.17834394904458598,8,1,18.31081081081081,0.3605556020416701
Norðurland,600 Akureyri,25-34,male,Sports/Team Sports/Soccer,922,-0.06205493387589013,9,0,14.038167938931299,-0.2222096141943469
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),45-54,male,Sports/Team Sports/Soccer,905,0.6697416974169742,6,-0.14285714285714285,25.880981595092024,-0.15400532757756297
Reykjavík,104 Reykjavík (Laugardalur),25-34,female,[Life Events] Moving/Recently Moved,897,2.7375,12,2,18.211764705882352,0.72834401891714
Suðurland,800 Selfoss,25-34,male,Sports/Team Sports/Soccer,891,0.5910714285714286,8,1,14.758620689655173,-0.07067717886645097
Vesturland,300 Akranes,35-44,male,Sports/Team Sports/Soccer,889,1.8585209003215435,8,1,18.779132791327914,0.3877834203561978
Reykjanes,230 Reykjanesbær,25-34,female,Arts & Entertainment/Celebrities & Entertainment News,887,0.42375601926163725,7,0.16666666666666666,9.478378378378379,-0.2535133504053238
Kópavogur,"203 Kópavogur (Kórar, Hvörf, Þing)",25-34,male,Arts & Entertainment/TV & Video/Online Video,865,8.505494505494505,11,4.5,19.52962962962963,1.419077990377084
Garðabær,210 Garðabær,25-34,female,Arts & Entertainment/TV & Video/Online Video,843,0.6026615969581749,9,0.8,23.846456692913385,1.7782279642229184
Vesturland,300 Akranes,25-34,male,[Life Events] Job Change/Starting New Job Soon,842,3.867052023121387,7,2.5,4.725547445255475,-0.5917643909940888
Vesturland,310 Borgarnes,25-34,male,Sports/Team Sports/Soccer,837,,6,,18.600578871201158,
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",45-54,male,Sports/Team Sports/Soccer,826,-0.37424242424242427,7,-0.46153846153846156,16.215712383488682,-0.2952575976217756
Reykjavík,107 Reykjavík (Vesturbær),18-24,male,Arts & Entertainment/TV & Video/Online Video,825,1.1099744245524297,8,0.6,21.296915167095115,0.19735031542148204
Reykjavík,105 Reykjavík (Hlíðar),25-34,male,[Life Events] Moving/Recently Moved,818,-0.3868065967016492,9,-0.47058823529411764,15.741935483870968,-0.3590211107558567
